upw_doi,oa_category,evidence,host_type,repository_institution,url_for_landing_page,url_for_pdf
10.3847/2041-8213/aa5fff,opendoar_subject,oa repository (via OAI-PMH doi match),repository,arXiv.org,http://arxiv.org/abs/1702.04006,http://arxiv.org/pdf/1702.04006
10.3847/2041-8213/aa5fff,opendoar_other,oa repository (via OAI-PMH doi match),repository,U.S. Department of Energy Office of Scientific and Technical Information - OSTI OAI,https://www.osti.gov/biblio/1355734,NA
10.3847/2041-8213/aa5fff,other_repo,oa repository (via OAI-PMH title and first author match),repository,"CERN, DESY, Fermilab, IHEP, and SLAC - DESY",http://bib-pubdb1.desy.de/record/318741,http://bib-pubdb1.desy.de/record/318741/files/ApJL837%282017%29L5.pdf
10.3847/2041-8213/aa5fff,other_repo,oa repository (via OAI-PMH title and first author match),repository,NA,http://iopscience.iop.org/article/10.3847/2041-8213/aa5fff/pdf,http://iopscience.iop.org/article/10.3847/2041-8213/aa5fff/pdf
10.3847/2041-8213/aa5fff,opendoar_subject,oa repository (via OAI-PMH title and first author match),repository,University of Turin - Institutional Research Information System University of Turin,http://hdl.handle.net/2318/1707634,https://iris.unito.it/bitstream/2318/1707634/1/GammaRay-Blazars-within-the-First-2-Billion-Years2017Astrophysical-Journal-Letters.pdf
10.1007/s00205-011-0464-5,opendoar_subject,oa repository (via OAI-PMH doi match),repository,arXiv.org,http://arxiv.org/abs/1012.5179,http://arxiv.org/pdf/1012.5179
10.1007/s00205-011-0464-5,opendoar_other,oa repository (via OAI-PMH doi match),repository,CiteSeerX.psu,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.377.9657,http://www.ma.utexas.edu/mp_arc/mp_arc/c/10/10-206.pdf
10.1063/1.4773198,not_oa,NA,NA,NA,NA,NA
10.1103/physrevb.83.155317,other_repo,oa repository (semantic scholar lookup),repository,NA,https://semanticscholar.org/paper/e0d74e06e57182f9603c209664c8971889cfa5f6,http://pdfs.semanticscholar.org/e0d7/4e06e57182f9603c209664c8971889cfa5f6.pdf
10.1109/jsen.2016.2590837,not_oa,NA,NA,NA,NA,NA
10.1016/j.actamat.2016.06.010,other_oa_journal,open (via crossref license),publisher,NA,https://doi.org/10.1016/j.actamat.2016.06.010,NA
10.1016/j.isprsjprs.2013.10.006,not_oa,NA,NA,NA,NA,NA
10.1007/s10930-011-9321-5,not_oa,NA,NA,NA,NA,NA
10.3389/fpsyg.2018.01838,full_oa_journal,oa journal (via doaj),publisher,NA,https://doi.org/10.3389/fpsyg.2018.01838,NA
10.3389/fpsyg.2018.01838,full_oa_journal,open (via page says license),publisher,NA,https://doi.org/10.3389/fpsyg.2018.01838,https://www.frontiersin.org/articles/10.3389/fpsyg.2018.01838/pdf
10.3389/fpsyg.2018.01838,opendoar_subject,oa repository (via pmcid lookup),repository,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6180165,NA
