repo_url,oai_url,repo_type,org_url,doar_uri,repo_domain
https://dlib.bc.edu/,http://dlib.bc.edu/oai2,institutional,http://bc.edu/,http://v2.sherpa.ac.uk/id/repository/146,dlib.bc.edu
http://etd.library.vanderbilt.edu/,http://etd.library.vanderbilt.edu/NDLTD-OAI/oai.pl,institutional,http://www.vanderbilt.edu/,http://v2.sherpa.ac.uk/id/repository/147,etd.library.vanderbilt.edu
http://dc.etsu.edu/honors/,NA,institutional,http://www.etsu.edu/etsuhome/default.aspx,http://v2.sherpa.ac.uk/id/repository/148,dc.etsu.edu
http://etd.ncsi.iisc.ernet.in/,http://etd.ncsi.iisc.ernet.in/dspace-oai/request,institutional,http://www.iisc.ernet.in/,http://v2.sherpa.ac.uk/id/repository/149,etd.ncsi.iisc.ernet.in
https://www.research-collection.ethz.ch/,http://research-collection.ethz.ch/oai,institutional,http://www.ethz.ch/,http://v2.sherpa.ac.uk/id/repository/150,research-collection.ethz.ch
http://cadmus.eui.eu/,http://cadmus.eui.eu/oai/request,institutional,http://www.eui.eu/,http://v2.sherpa.ac.uk/id/repository/151,cadmus.eui.eu
http://www.fedoa.unina.it/,http://www.fedoa.unina.it/cgi/oai2,institutional,http://www.unina.it/,http://v2.sherpa.ac.uk/id/repository/152,fedoa.unina.it
http://digitalcommons.fiu.edu/,http://digitalcommons.fiu.edu/do/oai/,institutional,http://www.fiu.edu/,http://v2.sherpa.ac.uk/id/repository/153,digitalcommons.fiu.edu
https://gfzpublic.gfz-potsdam.de/,https://escidoc.gfz-potsdam.de/escidoc-oaiprovider/,institutional,https://www.gfz-potsdam.de/,http://v2.sherpa.ac.uk/id/repository/156,gfzpublic.gfz-potsdam.de
http://mars.gmu.edu,http://mars.gmu.edu/oai/request?verb=Identify,institutional,http://www.gmu.edu/,http://v2.sherpa.ac.uk/id/repository/157,mars.gmu.edu
https://www.gla.ac.uk/research/enlighten/,http://eprints.gla.ac.uk/cgi/oai2,institutional,http://www.gla.ac.uk/,http://v2.sherpa.ac.uk/id/repository/162,gla.ac.uk
http://webdoc.sub.gwdg.de/,NA,institutional,http://www.uni-goettingen.de/,http://v2.sherpa.ac.uk/id/repository/163,webdoc.sub.gwdg.de
http://hal.inria.fr/,https://api.archives-ouvertes.fr/oai/inria,institutional,http://www.inria.fr/,http://v2.sherpa.ac.uk/id/repository/165,hal.inria.fr
https://hal.archives-ouvertes.fr/,https://api.archives-ouvertes.fr/oai/hal,aggregating,https://www.ccsd.cnrs.fr/,http://v2.sherpa.ac.uk/id/repository/166,hal.archives-ouvertes.fr
http://thesis.haverford.edu/dspace/,http://thesis.haverford.edu/dspace-oai/request,institutional,http://www.haverford.edu/,http://v2.sherpa.ac.uk/id/repository/167,thesis.haverford.edu
http://htpprints.yorku.ca/,http://htpprints.yorku.ca/perl/oai2,disciplinary,http://www.yorku.ca/,http://v2.sherpa.ac.uk/id/repository/169,htpprints.yorku.ca
http://opus4.kobv.de/opus4-bamberg/home,NA,institutional,http://www.uni-bamberg.de/,http://v2.sherpa.ac.uk/id/repository/170,opus4.kobv.de
http://hofprints.hofstra.edu/,NA,institutional,http://www.hofstra.edu/,http://v2.sherpa.ac.uk/id/repository/171,hofprints.hofstra.edu
http://eprints.lib.hokudai.ac.jp/dspace/,http://eprints.lib.hokudai.ac.jp/dspace-oai/request,institutional,http://www.hokudai.ac.jp/en/index.html,http://v2.sherpa.ac.uk/id/repository/172,eprints.lib.hokudai.ac.jp
http://eprints3.math.sci.hokudai.ac.jp/,http://eprints3.math.sci.hokudai.ac.jp/cgi/oai2,institutional,http://www.hokudai.ac.jp/en/index.html,http://v2.sherpa.ac.uk/id/repository/173,eprints3.math.sci.hokudai.ac.jp
http://repository.ust.hk/,http://repository.ust.hk/ir/OAI/Server,institutional,http://www.ust.hk/,http://v2.sherpa.ac.uk/id/repository/174,repository.ust.hk
http://hub.hku.hk/handle/10722/1057,NA,institutional,http://www.hku.hk,http://v2.sherpa.ac.uk/id/repository/175,hub.hku.hk
http://humboldt-dspace.calstate.edu/,NA,institutional,http://www.humboldt.edu/,http://v2.sherpa.ac.uk/id/repository/176,humboldt-dspace.calstate.edu
http://halshs.archives-ouvertes.fr/,https://api.archives-ouvertes.fr/oai/halshs,disciplinary,https://www.ccsd.cnrs.fr/,http://v2.sherpa.ac.uk/id/repository/177,halshs.archives-ouvertes.fr
https://scholarworks.iupui.edu/,http://scholarworks.iupui.edu/oai/request,institutional,http://www.iupui.edu/,http://v2.sherpa.ac.uk/id/repository/179,scholarworks.iupui.edu
http://library.imiscoe.org/,http://dare.uva.nl/cgi/arno/oai/imiscoe,aggregating,http://www.imiscoe.org/,http://v2.sherpa.ac.uk/id/repository/180,library.imiscoe.org
