repo_url,oai_url,repo_type,repo_name,org_url,doar_uri
https://dspace.lib.cranfield.ac.uk/,https://dspace.lib.cranfield.ac.uk/oai/request,institutional,Cranfield CERES,http://www.cranfield.ac.uk,https://v2.sherpa.ac.uk/id/repository/70
https://opac.ll.chiba-u.jp/da/curator/?lang=1,https://opac.ll.chiba-u.jp/mmd_api/oai-pmh/,institutional,Chiba University Repository for Access to Outcomes from Research,https://www.chiba-u.ac.jp/e/,https://v2.sherpa.ac.uk/id/repository/72
https://opac.ll.chiba-u.jp/da/curator/?lang=1,https://opac.ll.chiba-u.jp/mmd_api/oai-pmh/,institutional,千葉大学学術成果リポジトリ,https://www.chiba-u.ac.jp/e/,https://v2.sherpa.ac.uk/id/repository/72
https://espace.curtin.edu.au,https://espace.curtin.edu.au/oai/request,institutional,espace,https://www.curtin.edu.au,https://v2.sherpa.ac.uk/id/repository/73
http://du.diva-portal.org/smash/search.jsf,http://du.diva-portal.org/dice/oai,institutional,Dalarna University College Electronic Archive,https://www.du.se,https://v2.sherpa.ac.uk/id/repository/76
https://openresearch.anu.edu.au/,https://openresearch-repository.anu.edu.au/oai/request?verb=Identify,institutional,ANU Open Research,http://www.anu.edu.au/,https://v2.sherpa.ac.uk/id/repository/79
http://hal.in2p3.fr/,https://api.archives-ouvertes.fr/oai/democrite,institutional,HAL-IN2P3,http://www.in2p3.fr/,https://v2.sherpa.ac.uk/id/repository/80
https://cris.maastrichtuniversity.nl/portal/en/publications/search.html,http://cris.maastrichtuniversity.nl/ws/oai,institutional,Maastricht University Research Publications,http://www.maastrichtuniversity.nl/,https://v2.sherpa.ac.uk/id/repository/83
http://digitalcommons.carleton.edu/,NA,institutional,Digital Commons@Carleton College,https://www.carleton.edu,https://v2.sherpa.ac.uk/id/repository/84
http://digitalcommons.conncoll.edu/,http://digitalcommons.conncoll.edu/do/oai/,institutional,DigitalCommons@Connecticut College,http://www.conncoll.edu/,https://v2.sherpa.ac.uk/id/repository/85
http://digitalcommons.trinity.edu/relig_faculty/2/,NA,institutional,Digital Commons@Trinity,https://www.trinity.edu,https://v2.sherpa.ac.uk/id/repository/87
http://dspace.mit.edu/,http://dspace.mit.edu/oai/request,institutional,DSpace@MIT,http://web.mit.edu/,https://v2.sherpa.ac.uk/id/repository/88
http://dlc.dlib.indiana.edu/dlc/,NA,disciplinary,Digital Library of the Commons,http://www.indiana.edu/,https://v2.sherpa.ac.uk/id/repository/89
http://digitalcommons.pace.edu/,http://digitalcommons.pace.edu/do/oai/,institutional,DigitalCommons@Pace,http://www.pace.edu/,https://v2.sherpa.ac.uk/id/repository/91
http://digitalcommons.library.tmc.edu/,http://digitalcommons.library.tmc.edu/do/oai/,institutional,DigitalCommons@The Texas Medical Center,https://www.tmc.edu,https://v2.sherpa.ac.uk/id/repository/93
http://digitool.fcla.edu/R/,NA,institutional,Digital Collections @ FAU Libraries,http://www.fau.edu/,https://v2.sherpa.ac.uk/id/repository/94
http://digitalcommons.macalester.edu/,http://digitalcommons.macalester.edu/do/oai/,institutional,DigitalCommons@Macalester College,http://www.macalester.edu/,https://v2.sherpa.ac.uk/id/repository/96
http://digitalcommons.uconn.edu/,http://digitalcommons.uconn.edu/do/oai/,institutional,DigitalCommons@UConn,http://www.uconn.edu/,https://v2.sherpa.ac.uk/id/repository/98
http://digitalcommons.unl.edu/,http://digitalcommons.unl.edu/do/oai/,institutional,DigitalCommons@University of Nebraska,http://www.unl.edu/,https://v2.sherpa.ac.uk/id/repository/99
http://digitalcommons.utep.edu/,http://digitalcommons.utep.edu/do/oai/,institutional,DigitalCommons@UTEP,http://www.utep.edu/,https://v2.sherpa.ac.uk/id/repository/100
http://dspace.library.uu.nl,https://dspace.library.uu.nl/oai/request,institutional,Utrecht University Repository,https://www.uu.nl,https://v2.sherpa.ac.uk/id/repository/101
http://www.qucosa.de/,http://www.qucosa.de/oai/,institutional,Qucosa,https://www.slub-dresden.de/,https://v2.sherpa.ac.uk/id/repository/104
https://doclib.uhasselt.be/dspace/,http://doclib.uhasselt.be/dspace-oai/request,institutional,Document Server@UHasselt,https://www.uhasselt.be,https://v2.sherpa.ac.uk/id/repository/105
http://ir.library.oregonstate.edu,http://ir.library.oregonstate.edu/oai/request,institutional,ScholarsArchive@OSU,http://oregonstate.edu/,https://v2.sherpa.ac.uk/id/repository/108
https://www.repository.cam.ac.uk,https://www.repository.cam.ac.uk/oai/request,institutional,Apollo - University of Cambridge Repository,https://www.cam.ac.uk,https://v2.sherpa.ac.uk/id/repository/109
https://dl.comp.nus.edu.sg/dspace/,NA,institutional,"DSpace at School of Computing, NUS",http://www.nus.edu.sg/,https://v2.sherpa.ac.uk/id/repository/110
http://dspace.utalca.cl/index.jsp,http://dspace.utalca.cl/oai/request,institutional,DSpace Universidad de Talca,https://www.utalca.cl,https://v2.sherpa.ac.uk/id/repository/114
http://dspace.iimk.ac.in/,http://dspace.iimk.ac.in/dspace-oai/request,institutional,DSpace at Indian Institute of Management Kozhikode,http://www.iimk.ac.in/,https://v2.sherpa.ac.uk/id/repository/115
http://dspace.nitrkl.ac.in/dspace/,http://dspace.nitrkl.ac.in:8080/dspace-oai/request?,institutional,Dspace@NITR,http://www.nitrkl.ac.in/,https://v2.sherpa.ac.uk/id/repository/116
https://waseda.repo.nii.ac.jp/,http://waseda.repo.nii.ac.jp/oai,institutional,Waseda University Repository,https://www.waseda.jp/top/en,https://v2.sherpa.ac.uk/id/repository/117
https://waseda.repo.nii.ac.jp/,http://waseda.repo.nii.ac.jp/oai,institutional,早稲田大学リポジトリ,https://www.waseda.jp/top/en,https://v2.sherpa.ac.uk/id/repository/117
http://doras.dcu.ie/,http://doras.dcu.ie/cgi/oai2,institutional,DCU Online Research Access Service,http://www.dcu.ie/,https://v2.sherpa.ac.uk/id/repository/119
http://www.duo.uio.no/,NA,institutional,DUO Research Archive,https://www.uio.no,https://v2.sherpa.ac.uk/id/repository/121
http://www.duo.uio.no/,NA,institutional,DUO vitenarkiv,https://www.uio.no,https://v2.sherpa.ac.uk/id/repository/121
http://eprints.rclis.org/,http://eprints.rclis.org/cgi/oai2,disciplinary,E-LIS,http://eprints.rclis.org/information.html#1,https://v2.sherpa.ac.uk/id/repository/124
https://eprints.ucm.es,https://eprints.ucm.es/cgi/oai2,institutional,E-Prints Complutense,https://www.ucm.es,https://v2.sherpa.ac.uk/id/repository/126
http://www.e-space.mmu.ac.uk,https://e-space.mmu.ac.uk/cgi/oai2,institutional,e-space at Manchester Metropolitan University,https://www.mmu.ac.uk,https://v2.sherpa.ac.uk/id/repository/128
http://www.earth-prints.org/,http://www.earth-prints.org/oai/request,disciplinary,Earth-prints Repository,http://www.ingv.it,https://v2.sherpa.ac.uk/id/repository/129
http://library.eri.nau.edu/,NA,institutional,Ecological Restoration Institute - Northern Arizona University,http://www.nau.edu/,https://v2.sherpa.ac.uk/id/repository/130
http://winnspace.uwinnipeg.ca/,http://winnspace.uwinnipeg.ca/oai/request,institutional,WinnSpace Repository,http://www.uwinnipeg.ca/,https://v2.sherpa.ac.uk/id/repository/131
https://edoc.hu-berlin.de/,http://edoc.hu-berlin.de/oai,institutional,edoc-Server. Open-Access-Publikationsserver der Humboldt-Universität zu Berlin,https://www.hu-berlin.de,https://v2.sherpa.ac.uk/id/repository/133
https://eldorado.tu-dortmund.de,https://eldorado.tu-dortmund.de/oai/request,institutional,Eldorado - Repository of the TU Dortmund,https://www.tu-dortmund.de,https://v2.sherpa.ac.uk/id/repository/134
https://eldorado.tu-dortmund.de,https://eldorado.tu-dortmund.de/oai/request,institutional,"Eldorado - Ressourcen aus und für Lehre, Studium und Forschung",https://www.tu-dortmund.de,https://v2.sherpa.ac.uk/id/repository/134
http://bth.diva-portal.org/smash/search.jsf?dswid=2623,http://bth.diva-portal.org/dice/oai,institutional,Electronic Research Archive - Blekinge Tekniska Högskola,http://www.bth.se/,https://v2.sherpa.ac.uk/id/repository/135
http://eprints.erpanet.org/,http://eprints.erpanet.org/perl/oai2,disciplinary,Electronic Resource Preservation and Access Network ePRINTS Service,http://www.erpanet.org/,https://v2.sherpa.ac.uk/id/repository/136
https://etda.libraries.psu.edu/,NA,institutional,Graduate School Section of the eTD database,http://www.psu.edu/,https://v2.sherpa.ac.uk/id/repository/137
http://etd.uis.lsu.edu/cgi-bin/ETD-browse/browse,NA,institutional,Electronic Thesis and Dissertation Library - LSU,http://www.lsu.edu/,https://v2.sherpa.ac.uk/id/repository/138
https://media.suub.uni-bremen.de,https://media.suub.uni-bremen.de/oai/openaire,institutional,Media Dokumentenserver - Staats und Universitätsbibliothek Bremen,https://www.uni-bremen.de,https://v2.sherpa.ac.uk/id/repository/139
https://www.ltu.se/publications,http://ltu.diva-portal.org/dice/oai,institutional,Luleå University of Technology Publications,http://www.ltu.se/,https://v2.sherpa.ac.uk/id/repository/142
https://www.ltu.se/publications,http://ltu.diva-portal.org/dice/oai,institutional,Publikationer Luleå Tekniska Universitet,http://www.ltu.se/,https://v2.sherpa.ac.uk/id/repository/142
http://escholarshare.drake.edu/,http://escholarshare.drake.edu/oai/request,institutional,eScholarShare at Drake University,http://www.drake.edu/,https://v2.sherpa.ac.uk/id/repository/145
https://dlib.bc.edu/,http://dlib.bc.edu/oai2,institutional,eScholarship@BC,https://www.bc.edu,https://v2.sherpa.ac.uk/id/repository/146
http://etd.library.vanderbilt.edu/,http://etd.library.vanderbilt.edu/NDLTD-OAI/oai.pl,institutional,Vanderbilt Electronic Thesis and Dissertation Archive,http://www.vanderbilt.edu/,https://v2.sherpa.ac.uk/id/repository/147
http://dc.etsu.edu/honors/,NA,institutional,ETSU Electronic Thesis and Dissertation Archive,https://www.etsu.edu/ehome/,https://v2.sherpa.ac.uk/id/repository/148
http://etd.ncsi.iisc.ernet.in/,http://etd.ncsi.iisc.ernet.in/dspace-oai/request,institutional,Electronic Theses and Dissertations at Indian Institute of Science,http://www.iisc.ernet.in/,https://v2.sherpa.ac.uk/id/repository/149
https://www.research-collection.ethz.ch/,http://research-collection.ethz.ch/oai,institutional,Research Collection,http://www.ethz.ch/,https://v2.sherpa.ac.uk/id/repository/150
http://cadmus.eui.eu/,http://cadmus.eui.eu/oai/request,institutional,"Cadmus, EUI Research Repository",http://www.eui.eu/,https://v2.sherpa.ac.uk/id/repository/151
http://www.fedoa.unina.it/,http://www.fedoa.unina.it/cgi/oai2,institutional,Università degli Studi di Napoli Federico Il Open Archive,http://www.unina.it/,https://v2.sherpa.ac.uk/id/repository/152
http://digitalcommons.fiu.edu/,http://digitalcommons.fiu.edu/do/oai/,institutional,DigitalCommons@Florida International University,http://www.fiu.edu/,https://v2.sherpa.ac.uk/id/repository/153
https://gfzpublic.gfz-potsdam.de,https://gfzpublic.gfz-potsdam.de/oai,institutional,GFZ German Research Centre for Geosciences,https://www.gfz-potsdam.de/,https://v2.sherpa.ac.uk/id/repository/156
http://mars.gmu.edu,http://mars.gmu.edu/oai/request?verb=Identify,institutional,Mason Archival Repository Service,http://www.gmu.edu/,https://v2.sherpa.ac.uk/id/repository/157
https://www.gla.ac.uk/research/enlighten/,http://eprints.gla.ac.uk/cgi/oai2,institutional,Enlighten - Institutional Repository of the University of Glasgow,http://www.gla.ac.uk/,https://v2.sherpa.ac.uk/id/repository/162
http://webdoc.sub.gwdg.de/,NA,institutional,Dokumentenserver der Georg-August-Universität Göttingen,http://www.uni-goettingen.de/,https://v2.sherpa.ac.uk/id/repository/163
http://hal.inria.fr/,https://api.archives-ouvertes.fr/oai/inria,institutional,HAL-INRIA,http://www.inria.fr,https://v2.sherpa.ac.uk/id/repository/165
https://hal.archives-ouvertes.fr/,https://api.archives-ouvertes.fr/oai/hal,aggregating,HAL,https://www.ccsd.cnrs.fr/,https://v2.sherpa.ac.uk/id/repository/166
http://thesis.haverford.edu/dspace/,http://thesis.haverford.edu/dspace-oai/request,institutional,TriCollege Libraries Institutional Repository,http://www.haverford.edu/,https://v2.sherpa.ac.uk/id/repository/167
http://htpprints.yorku.ca/,http://htpprints.yorku.ca/perl/oai2,disciplinary,History & Theory of Psychology Eprint Archive,https://www.yorku.ca,https://v2.sherpa.ac.uk/id/repository/169
http://hofprints.hofstra.edu/,NA,institutional,Hofstra University ePrint Archive,http://www.hofstra.edu,https://v2.sherpa.ac.uk/id/repository/171
https://eprints.lib.hokudai.ac.jp/,http://eprints.lib.hokudai.ac.jp/dspace-oai/request,institutional,Hokkaido University Collection of Scholarly and Academic Papers,https://www.hokudai.ac.jp,https://v2.sherpa.ac.uk/id/repository/172
https://eprints.lib.hokudai.ac.jp/,http://eprints.lib.hokudai.ac.jp/dspace-oai/request,institutional,北海道大学学術成果コレクション,https://www.hokudai.ac.jp,https://v2.sherpa.ac.uk/id/repository/172
http://repository.ust.hk/,http://repository.ust.hk/ir/OAI/Server,institutional,Hong Kong University of Science and Technology Institutional Repository,http://www.ust.hk/,https://v2.sherpa.ac.uk/id/repository/174
http://hub.hku.hk/handle/10722/1057,NA,institutional,HKU Theses Online,http://www.hku.hk,https://v2.sherpa.ac.uk/id/repository/175
http://humboldt-dspace.calstate.edu/,NA,institutional,Humboldt Digital Scholar,http://www.humboldt.edu/,https://v2.sherpa.ac.uk/id/repository/176
http://halshs.archives-ouvertes.fr/,https://api.archives-ouvertes.fr/oai/halshs,disciplinary,HAL- SHS,https://www.ccsd.cnrs.fr/,https://v2.sherpa.ac.uk/id/repository/177
https://scholarworks.iupui.edu/,http://scholarworks.iupui.edu/oai/request,institutional,IUPUIScholarWorks,http://www.iupui.edu/,https://v2.sherpa.ac.uk/id/repository/179
http://library.imiscoe.org/,http://dare.uva.nl/cgi/arno/oai/imiscoe,aggregating,"International Migration, Integration and Social Cohesion online publications",http://www.imiscoe.org,https://v2.sherpa.ac.uk/id/repository/180
http://eprints.iisc.ac.in,http://eprints.iisc.ernet.in/cgi/oai2,institutional,Open Access Repository of IISc Research Publications,http://www.iisc.ernet.in,https://v2.sherpa.ac.uk/id/repository/182
https://infoscience.epfl.ch/,http://infoscience.epfl.ch/oai2d/,institutional,Infoscience - École polytechnique fédérale de Lausanne,http://www.epfl.ch/,https://v2.sherpa.ac.uk/id/repository/185
http://ethesis.inp-toulouse.fr/,http://ethesis.inp-toulouse.fr/perl/oai2,institutional,Open Archive Toulouse,https://www.inp-toulouse.fr,https://v2.sherpa.ac.uk/id/repository/186
